EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
6	14:41:10	0.1000	5.0409	5.1387	0.0000	0.0000	0.0000	0.0000
7	14:41:12	0.1000	4.9909	5.1386	0.0000	0.0000	0.0000	0.0000
8	14:41:13	0.1000	4.9596	5.1374	0.0000	0.0000	0.0000	0.0000
9	14:41:14	0.1000	4.9094	5.1367	0.0000	0.0000	0.0000	0.0000
10	14:41:15	0.1000	4.8388	5.1361	0.0000	0.0000	0.0000	0.0000
11	14:41:16	0.1000	4.7706	5.1345	0.0101	0.0100	0.0101	0.0100
12	14:41:17	0.1000	4.6832	5.1343	0.0101	0.0100	0.0101	0.0100
13	14:41:19	0.1000	4.6016	5.1336	0.0101	0.0100	0.0101	0.0100
14	14:41:20	0.1000	4.4726	5.1323	0.0202	0.0200	0.0201	0.0200
15	14:41:21	0.1000	4.3309	5.1313	0.0202	0.0200	0.0201	0.0200
16	14:41:22	0.1000	4.1879	5.1302	0.0202	0.0200	0.0201	0.0200
17	14:41:24	0.1000	4.0161	5.1294	0.0202	0.0200	0.0201	0.0200
18	14:41:25	0.1000	3.8638	5.1285	0.0202	0.0200	0.0201	0.0200
19	14:41:26	0.1000	3.7012	5.1280	0.0202	0.0200	0.0201	0.0200
20	14:41:28	0.1000	3.5203	5.1277	0.0202	0.0200	0.0201	0.0200
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:42:23	0.1000	5.1683	5.1406	0.0202	0.0200	0.0201	0.0200
2	14:42:24	0.1000	5.1408	5.1393	0.0202	0.0200	0.0201	0.0200
3	14:42:25	0.1000	5.1074	5.1372	0.0303	0.0300	0.0302	0.0300
4	14:42:26	0.1000	5.0878	5.1371	0.0303	0.0300	0.0302	0.0300
5	14:42:28	0.1000	5.0585	5.1365	0.0303	0.0300	0.0302	0.0300
6	14:42:29	0.1000	5.0321	5.1346	0.0303	0.0300	0.0302	0.0300
7	14:42:30	0.1000	4.9887	5.1332	0.0404	0.0400	0.0402	0.0400
8	14:42:31	0.1000	4.9331	5.1332	0.0303	0.0300	0.0302	0.0300
9	14:42:32	0.1000	4.8852	5.1319	0.0404	0.0400	0.0402	0.0400
10	14:42:33	0.1000	4.8305	5.1312	0.0404	0.0400	0.0402	0.0400
11	14:42:35	0.1000	4.7267	5.1302	0.0505	0.0500	0.0503	0.0500
12	14:42:36	0.1000	4.6515	5.1294	0.0404	0.0400	0.0402	0.0400
13	14:42:37	0.1000	4.5408	5.1283	0.0404	0.0400	0.0402	0.0400
14	14:42:38	0.1000	4.4092	5.1279	0.0303	0.0300	0.0302	0.0300
15	14:42:40	0.1000	4.2404	5.1271	0.0303	0.0300	0.0302	0.0300
16	14:42:41	0.1000	4.0883	5.1263	0.0404	0.0400	0.0402	0.0400
17	14:42:42	0.1000	3.9600	5.1261	0.0404	0.0400	0.0402	0.0400
18	14:42:43	0.0500	3.7751	5.1257	0.0404	0.0400	0.0402	0.0400
19	14:42:44	0.0500	3.6949	5.1253	0.0404	0.0400	0.0402	0.0400
20	14:42:45	0.0500	3.5893	5.1253	0.0404	0.0400	0.0402	0.0400
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:44:39	0.1000	5.1765	5.1610	0.0000	0.0000	0.0000	0.0000
2	14:44:40	0.1000	5.1515	5.1600	0.0000	0.0000	0.0000	0.0000
3	14:44:41	0.1000	5.1202	5.1601	0.0000	0.0000	0.0000	0.0000
4	14:44:43	0.1000	5.0902	5.1600	0.0000	0.0000	0.0000	0.0000
5	14:44:44	0.1000	5.0658	5.1592	0.0000	0.0000	0.0000	0.0000
6	14:44:46	0.1000	5.0454	5.1594	0.0000	0.0000	0.0000	0.0000
7	14:44:47	0.1000	4.9938	5.1580	0.0000	0.0000	0.0000	0.0000
